ticker,side,price,shares,pnl,reason
XLV,buy,84.45220499999999,118,0.0,signal
SPY,buy,270.605235,36,0.0,signal
XLE,buy,74.59728,134,0.0,signal
XLE,sell,66.68664,134,-1068.9617697600006,stop_loss
XLV,sell,79.630165,118,-578.3970794699981,trailing_stop
SPY,buy,266.03325015,37,0.0,signal
XLV,buy,82.56125999999999,121,0.0,signal
XLE,buy,73.39667999999999,25,0.0,signal
XLU,buy,51.92594999999999,193,0.0,signal
SPY,buy,280.09997999999996,35,0.0,signal
XLV,buy,86.973465,114,0.0,signal
XLE,buy,75.15756,133,0.0,signal
XLU,buy,52.68632999999999,189,0.0,signal
XLV,buy,87.333645,114,0.0,signal
XLU,buy,55.257614999999994,180,0.0,signal
SPY,buy,281.1405,35,0.0,signal
SPY,sell,250.91448,35,-1066.6927068000005,stop_loss
XLV,sell,84.027965,114,-386.4267080100017,trailing_stop
XLV,buy,87.853905,79,0.0,signal
XLU,buy,54.66732,182,0.0,signal
XLV,buy,90.53524499999999,20,0.0,signal
SPY,buy,279.51968999999997,4,0.0,signal
XLU,buy,58.609289999999994,170,0.0,signal
SPY,buy,281.13099524999996,35,0.0,signal
XLV,buy,91.055505,110,0.0,signal
XLU,buy,61.800885,161,0.0,signal
XLV,buy,91.46571,109,0.0,signal
SPY,buy,292.46616,34,0.0,signal
XLU,buy,63.031499999999994,158,0.0,signal
SPY,buy,311.17551,32,0.0,signal
XLV,buy,98.339145,101,0.0,signal
XLE,buy,61.970969999999994,32,0.0,signal
XLE,sell,55.022475,32,-224.11255919999985,stop_loss
SPY,buy,313.206525,31,0.0,signal
XLU,buy,68.75435999999999,145,0.0,signal
XLV,buy,100.03999499999999,77,0.0,signal
SPY,sell,276.18184,31,-1156.3268720399992,stop_loss
XLU,sell,60.799585,145,-1162.2583148249996,stop_loss
XLV,sell,84.7725925,77,-1182.1174821224995,stop_loss
XLV,buy,100.420185,23,0.0,signal
SPY,buy,309.09447,9,0.0,signal
XLV,buy,106.10302499999999,94,0.0,signal
SPY,buy,339.04944,29,0.0,signal
XLU,buy,60.720344999999995,164,0.0,signal
SPY,buy,367.48365,27,0.0,signal
XLV,buy,111.065505,90,0.0,signal
XLU,buy,60.93044999999999,164,0.0,signal
SPY,buy,400.81030499999997,24,0.0,signal
XLV,buy,116.448195,85,0.0,signal
XLE,buy,49.00449,76,0.0,signal
XLU,buy,64.922445,119,0.0,signal
SPY,buy,435.73776,22,0.0,signal
XLV,buy,128.774355,77,0.0,signal
XLE,buy,52.876425,189,0.0,signal
XLU,buy,64.63229999999999,154,0.0,signal
XLE,sell,46.93652,189,-1131.5130472799992,stop_loss
XLE,buy,48.03400499999999,208,0.0,signal
XLE,buy,57.07852499999999,175,0.0,signal
SPY,buy,442.72125,22,0.0,signal
XLV,buy,127.40366999999999,78,0.0,signal
XLU,buy,65.902935,151,0.0,signal
XLE,buy,62.481225,160,0.0,signal
XLU,buy,68.87442,145,0.0,signal
XLV,buy,130.54523999999998,76,0.0,signal
SPY,buy,450.134955,22,0.0,signal
XLE,sell,75.192385,160,2021.7548183999988,take_profit
XLE,buy,75.267615,135,0.0,signal
XLE,buy,75.187575,133,0.0,signal
XLU,buy,71.29563,140,0.0,signal
XLV,buy,134.08701,76,0.0,signal
XLE,sell,92.03396000000001,133,2228.3286883200017,take_profit
XLE,buy,92.12603999999999,87,0.0,signal
XLV,sell,120.46973500000001,76,-1044.0685998600002,stop_loss
XLE,sell,82.33881,87,-858.6524864699995,stop_loss
XLU,sell,65.44726000000001,140,-827.9344163999995,trailing_stop
XLU,buy,69.60478499999999,142,0.0,signal
XLE,buy,70.19507999999999,44,0.0,signal
XLV,buy,132.90642,51,0.0,signal
XLU,buy,74.37716999999999,127,0.0,signal
XLV,buy,132.856395,74,0.0,signal
XLE,buy,76.79838,34,0.0,signal
XLE,sell,70.44476,34,-218.4182018399997,trailing_stop
XLU,sell,66.7666,127,-975.0217482000007,stop_loss
XLE,buy,76.128045,82,0.0,signal
XLV,buy,133.196565,54,0.0,signal
XLE,buy,84.78236999999999,15,0.0,signal
XLU,buy,71.38567499999999,28,0.0,signal
XLE,buy,83.551755,119,0.0,signal
SPY,buy,397.928865,4,0.0,signal
XLV,buy,130.97545499999998,76,0.0,signal
SPY,buy,418.058925,23,0.0,signal
XLV,buy,131.615775,76,0.0,signal
XLU,buy,68.49422999999999,147,0.0,signal
XLE,buy,85.70282999999999,35,0.0,signal
XLE,buy,91.21558499999999,109,0.0,signal
SPY,buy,445.072425,22,0.0,signal
XLV,buy,133.036485,75,0.0,signal
SPY,buy,470.73524999999995,21,0.0,signal
XLV,buy,136.037985,73,0.0,signal
XLE,buy,85.02249,46,0.0,signal
XLU,buy,63.901934999999995,19,0.0,signal
SPY,buy,521.6606999999999,19,0.0,signal
XLV,buy,145.51272,68,0.0,signal
XLE,buy,92.40617999999999,108,0.0,signal
XLU,buy,63.891929999999995,31,0.0,signal
SPY,buy,545.4726,18,0.0,signal
XLV,buy,144.982455,68,0.0,signal
XLE,buy,91.2506025,109,0.0,signal
XLU,buy,67.72884749999999,147,0.0,signal
XLU,buy,79.48972499999999,125,0.0,signal
SPY,buy,568.0839,17,0.0,signal
XLV,buy,151.03548,66,0.0,signal
XLE,buy,90.415185,18,0.0,signal
XLE,sell,84.10792500000001,18,-115.04462264999961,trailing_stop
SPY,buy,593.046375,16,0.0,signal
XLU,buy,76.79838,130,0.0,signal
XLE,buy,92.58627,108,0.0,signal
XLV,buy,147.42367499999997,68,0.0,signal
SPY,sell,537.03135,16,-904.8329016000007,trailing_stop
XLE,sell,79.02047,108,-1473.6406107600014,stop_loss
XLV,sell,132.503715,68,-1023.5675326199998,stop_loss
XLU,buy,78.4942275,127,0.0,signal
SPY,buy,617.94882,4,0.0,signal
XLE,buy,88.56425999999999,27,0.0,signal
XLU,buy,85.84289999999999,116,0.0,signal
SPY,buy,622.0508699999999,16,0.0,signal
XLE,buy,88.194075,39,0.0,signal
XLV,buy,144.4071675,70,0.0,signal
SPY,buy,670.57512,14,0.0,signal
XLU,buy,88.52424,112,0.0,signal
XLV,buy,152.64628499999998,65,0.0,signal
XLE,buy,88.2991275,82,0.0,signal
XLU,sell,43.268355,112,-5073.505175760001,stop_loss
XLE,sell,45.907035,82,-3479.9159618699996,stop_loss
